"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","labour","peopl","countri","will","price","can","state","work"
"2","valu","law","upon","interest","produc","part","social","time"
"3","product","even","great","rate","quantiti","differ","class","year"
"4","capit","govern","trade","employ","money","must","polit","one"
"5","commod","public","good","increas","profit","employ","econom","day"
"6","power","everi","manufactur","wage","land","one","worker","hour"
"7","form","common","import","money","tax","whole","develop","two"
"8","mean","like","part","capit","will","may","industri","factori"
